"id","code","name"
"giro_000295","29100","Fabricación vehículos automotores"
"giro_000296","29200","Fabricación de carrocerías para vehículos automotores; fabricación de remolques y semiremolques"
"giro_000297","29300","Fabricación de partes, piezas y accesorios para vehículos automotores"
"giro_000298","","FABRICACIÓN DE OTROS TIPOS DE EQUIPO DE TRANSPORTE"
"giro_000299","30110","Fabricación de buques"
"giro_000300","30120","Construcción y reparación de embarcaciones de recreo"
"giro_000301","30200","Fabricación de locomotoras y de material rodante"
"giro_000302","30300","Fabricación de aeronaves y naves espaciales"
"giro_000303","30400","Fabricación de vehículos militares de combate"
"giro_000304","30910","Fabricación de motocicletas"
"giro_000305","30920","Fabricación de bicicletas y sillones de ruedas para inválidos"
"giro_000306","30990","Fabricación de equipo de transporte ncp"
"giro_000307","","FABRICACIÓN DE MUEBLES"
"giro_000308","31001","Fabricación de colchones y somier"
"giro_000309","31002","Fabricación de muebles y otros productos de madera a medida"
"giro_000310","31008","Servicios de maquilado de muebles"
"giro_000311","31009","Fabricación de muebles ncp"
"giro_000312","","OTRAS INDUSTRIAS MANUFACTURERAS"
"giro_000313","32110","Fabricación de joyas platerías y joyerías"
"giro_000314","32120","Fabricación de joyas de imitación (fantasía) y artículos conexos"
"giro_000315","32200","Fabricación de instrumentos musicales"
"giro_000316","32301","Fabricación de artículos de deporte"
"giro_000317","32308","Servicio de maquila de productos deportivos"
"giro_000318","32401","Fabricación de juegos de mesa y de salón"
"giro_000319","32402","Servicio de maquilado de juguetes y juegos"
"giro_000320","32409","Fabricación de juegos y juguetes n.c.p."
"giro_000321","32500","Fabricación de instrumentos y materiales médicos y odontológicos"
"giro_000322","32901","Fabricación de lápices, bolígrafos, sellos y artículos de librería en general"
"giro_000323","32902","Fabricación de escobas, cepillos, pinceles y similares"
"giro_000324","32903","Fabricación de artesanías de materiales diversos"
"giro_000325","32904","Fabricación de artículos de uso personal y domésticos n.c.p."
"giro_000326","32905","Fabricación de accesorios para las confecciones y la marroquinería n.c.p."
"giro_000327","32908","Servicios de maquila ncp"
"giro_000328","32909","Fabricación de productos manufacturados n.c.p."
"giro_000329","","REPARACIÓN E INSTALACIÓN DE MAQUINARIA Y EQUIPO"
"giro_000330","33110","Reparación y mantenimiento de productos elaborados de metal"
"giro_000331","33120","Reparación y mantenimiento de maquinaria"
"giro_000332","33130","Reparación y mantenimiento de equipo electrónico y óptico"
"giro_000333","33140","Reparación y mantenimiento de equipo eléctrico"
"giro_000334","33150","Reparación y mantenimiento de equipo de transporte, excepto vehículos automotores"
"giro_000335","33190","Reparación y mantenimiento de equipos n.c.p."
"giro_000336","33200","Instalación de maquinaria y equipo industrial"
"giro_000337","","SUMINISTROS DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO"
"giro_000338","35101","Generación de energía eléctrica"
"giro_000339","35102","Transmisión de energía eléctrica"
"giro_000340","35103","Distribución de energía eléctrica"
"giro_000341","35200","Fabricación de gas, distribución de combustibles gaseosos por tuberías"
"giro_000342","35300","Suministro de vapor y agua caliente"
"giro_000343","","SUMINISTRO DE AGUA, EVACUACIÓN DE AGUAS RESIDUALES (ALCANTARILLADO); GESTIÓN DE DESECHOS Y ACTIVIDADES DE SANEAMIENTO"
"giro_000344","","CAPTACIÓN, TRATAMIENTO Y SUMINISTRO DE AGUA"
"giro_000345","36000","Captación, tratamiento y suministro de agua"
"giro_000346","","EVACUACIÓN DE AGUAS RESIDUALES (ALCANTARILLADO)"
"giro_000347","37000","Evacuación de aguas residuales (alcantarillado)"
"giro_000348","","RECOLECCIÓN, TRATAMIENTO Y ELIMINACIÓN DE DESECHOS; RECICLAJE"
"giro_000349","38110","Recolección y transporte de desechos sólidos proveniente de hogares y sector urbano"
"giro_000350","38120","Recolección de desechos peligrosos"
"giro_000351","38210","Tratamiento y eliminación de desechos inicuos"
"giro_000352","38220","Tratamiento y eliminación de desechos peligrosos"
"giro_000353","38301","Reciclaje de desperdicios y desechos textiles"
"giro_000354","38302","Reciclaje de desperdicios y desechos de plástico y caucho"
"giro_000355","38303","Reciclaje de desperdicios y desechos de vidrio"
"giro_000356","38304","Reciclaje de desperdicios y desechos de papel y cartón"
"giro_000357","38305","Reciclaje de desperdicios y desechos metálicos"
"giro_000358","38309","Reciclaje de desperdicios y desechos no metálicos n.c.p."
"giro_000359","","ACTIVIDADES DE SANEAMIENTO Y OTROS SERVICIOS DE GESTIÓN DE DESECHOS"
"giro_000360","39000","Actividades de Saneamiento y otros Servicios de Gestión de Desechos"
"giro_000361","","CONSTRUCCIÓN"
"giro_000362","","CONSTRUCCIÓN DE EDIFICIOS"
"giro_000363","41001","Construcción de edificios residenciales"
"giro_000364","41002","Construcción de edificios no residenciales"
"giro_000365","","OBRAS DE INGENIERÍA CIVIL"
"giro_000366","42100","Construcción de carreteras, calles y caminos"
"giro_000367","42200","Construcción de proyectos de servicio público"
"giro_000368","42900","Construcción de obras de ingeniería civil n.c.p."
"giro_000369","","ACTIVIDADES ESPECIALIZADAS DE CONSTRUCCIÓN"
"giro_000370","43110","Demolición"
"giro_000371","43120","Preparación de terreno"
"giro_000372","43210","Instalaciones eléctricas"
"giro_000373","43220","Instalación de fontanería, calefacción y aire acondicionado"
"giro_000374","43290","Otras instalaciones para obras de construcción"
"giro_000375","43300","Terminación y acabado de edificios"
"giro_000376","43900","Otras actividades especializadas de construcción"
"giro_000377","43901","Fabricación de techos y materiales diversos"
"giro_000378","","COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS"
"giro_000379","45100","Venta de vehículos automotores"
"giro_000380","45201","Reparación mecánica de vehículos automotores"
"giro_000381","45202","Reparaciones eléctricas del automotor y recarga de baterías"
"giro_000382","45203","Enderezado y pintura de vehículos automotores"
"giro_000383","45204","Reparaciones de radiadores, escapes y silenciadores"
"giro_000384","45205","Reparación y reconstrucción de vías, stop y otros artículos de fibra de vidrio"
"giro_000385","45206","Reparación de llantas de vehículos automotores"
"giro_000386","45207","Polarizado de vehículos (mediante la adhesión de papel especial a los vidrios)"
"giro_000387","45208","Lavado y pasteado de vehículos (carwash)"
"giro_000388","45209","Reparaciones de vehículos n.c.p."
"giro_000389","45211","Remolque de vehículos automotores"
"giro_000390","45301","Venta de partes, piezas y accesorios nuevos para vehículos automotores"
"giro_000391","45302","Venta de partes, piezas y accesorios usados para vehículos automotores"
"giro_000392","45401","Venta de motocicletas"
"giro_000393","45402","Venta de repuestos, piezas y accesorios de motocicletas"
"giro_000394","45403","Mantenimiento y reparación de motocicletas"
"giro_000395","","COMERCIO AL POR MAYOR, EXCEPTO EL COMERCIO DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS (PARTE 1)"
"giro_000396","46100","Venta al por mayor a cambio de retribución o por contrata"
